Month,Year,Channel,TotalRevenue
9,2013,PARTNER,28511.890000000083
10,2013,PARTNER,29019.350000000108
12,2015,PARTNER,212865.91000000108
11,2013,PARTNER,106156.12999999935
1,2010,PARTNER,10238.509999999998
2,2011,PARTNER,60313.02000000002
1,2014,PARTNER,42350.70000000003
11,2011,PARTNER,98481.91999999837
10,2015,PARTNER,74726.82000000015
2,2014,PARTNER,21635.66000000004
1,2012,PARTNER,68260.73999999964
12,2012,PARTNER,133169.2799999999
1,2015,PARTNER,77144.23999999985
11,2015,PARTNER,221445.1600000006
10,2011,PARTNER,52466.50999999993
3,2013,PARTNER,45901.83000000006
9,2016,PARTNER,13329.959999999997
2,2012,PARTNER,55089.64999999994
12,2010,PARTNER,138542.1899999994
2,2013,PARTNER,37387.090000000026
12,2013,PARTNER,156380.71999999977
1,2011,PARTNER,96654.79999999942
2,2015,PARTNER,93902.2999999995
10,2014,PARTNER,93735.99000000003
3,2011,PARTNER,77243.86999999986
3,2014,PARTNER,42190.380000000056
9,2015,PARTNER,57051.98999999993
3,2012,PARTNER,53758.24000000031
11,2010,PARTNER,124963.60999999946
12,2011,PARTNER,107923.38999999875
9,2014,PARTNER,95024.84999999942
4,2012,PARTNER,35906.45000000006
9,2011,PARTNER,43477.47000000002
8,2016,PARTNER,72731.12999999999
6,2011,PARTNER,35514.85000000009
7,2012,PARTNER,41357.34000000002
5,2012,PARTNER,33078.99000000013
8,2015,PARTNER,71692.09999999983
6,2010,PARTNER,60012.66999999998
7,2013,PARTNER,46085.82999999995
4,2010,PARTNER,52945.270000000004
8,2011,PARTNER,70115.38999999937
8,2010,PARTNER,40038.499999999985
9,2010,PARTNER,57302.6099999999
4,2013,PARTNER,50435.27
5,2016,PARTNER,89955.66000000002
7,2014,PARTNER,100326.80999999831
4,2016,PARTNER,64479.48999999995
5,2015,PARTNER,77713.93999999992
7,2016,PARTNER,110853.46
7,2015,PARTNER,79625.95000000019
5,2014,PARTNER,108081.25999999969
5,2013,PARTNER,39964.91999999999
4,2015,PARTNER,50928.47999999984
4,2014,PARTNER,86284.51000000002
6,2013,PARTNER,45766.309999999925
6,2014,PARTNER,114763.16000000028
6,2016,PARTNER,109082.22999999949
7,2011,PARTNER,44590.85000000002
9,2012,PARTNER,31573.10000000006
4,2011,PARTNER,30313.470000000136
5,2010,PARTNER,48654.26000000001
8,2013,PARTNER,29219.81000000006
8,2012,PARTNER,45721.33999999998
5,2011,PARTNER,33985.75000000005
6,2015,PARTNER,110272.7900000002
8,2014,PARTNER,74721.90999999945
6,2012,PARTNER,39350.100000000035
7,2010,PARTNER,48658.51999999989
2,2016,REFERRAL,4210.399999999998
7,2016,REFERRAL,18923.649999999998
8,2013,REFERRAL,134.85
2,2012,REFERRAL,60.6
11,2011,REFERRAL,697.2300000000001
5,2013,REFERRAL,832.7
11,2012,REFERRAL,734.5100000000002
2,2014,REFERRAL,227.35999999999999
10,2014,REFERRAL,3503.4800000000005
2,2015,REFERRAL,2660.97
8,2010,REFERRAL,462.74
8,2012,REFERRAL,75.25
11,2010,REFERRAL,2601.34
5,2012,REFERRAL,452.3
5,2011,REFERRAL,349.9
10,2015,REFERRAL,4332.57
8,2011,REFERRAL,199.69
5,2010,REFERRAL,515.99
4,2010,REFERRAL,728.4300000000001
1,2016,REFERRAL,1667.4000000000005
5,2014,REFERRAL,4568.659999999997
12,2015,REFERRAL,7532.119999999992
6,2015,REFERRAL,2584.4999999999986
6,2014,REFERRAL,3708.699999999994
1,2010,REFERRAL,747.3100000000001
12,2014,REFERRAL,4513.639999999998
6,2016,REFERRAL,4971.839999999997
1,2011,REFERRAL,2152.42
12,2013,REFERRAL,1008.88
6,2013,REFERRAL,794.63
7,2010,REFERRAL,13.95
1,2012,REFERRAL,351.40000000000003
12,2012,REFERRAL,1603.26
6,2012,REFERRAL,57.45
7,2011,REFERRAL,282.76
1,2013,REFERRAL,1149.93
12,2011,REFERRAL,1050.93
6,2011,REFERRAL,506.35999999999996
7,2015,REFERRAL,1692.1000000000004
11,2013,REFERRAL,1647.5700000000006
2,2010,REFERRAL,307.44
